epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,72.5977,0.56732,1.75991,1.16892,0.48672,0.3981,0.33017,0.23258,1.01512,2.81547,1.54441,0.00036759,0.00036759,0.00036759
2,118.504,0.67555,1.28746,1.23813,0.39435,0.57683,0.42022,0.27578,1.04805,2.10899,1.581,0.000725748,0.000725748,0.000725748
3,163.672,0.70038,1.26923,1.24618,0.11298,0.26429,0.13094,0.06138,2.34919,3.2532,5.47619,0.00107168,0.00107168,0.00107168
4,209.18,0.71852,1.23842,1.25713,0.53831,0.51261,0.49963,0.3748,0.8934,1.86616,1.34912,0.00105601,0.00105601,0.00105601
5,253.694,0.67287,1.18543,1.23161,0.20741,0.48441,0.2801,0.17047,2.00288,2.63038,3.57379,0.00103767,0.00103767,0.00103767
6,299.378,0.61651,1.09901,1.18487,0.67494,0.69865,0.75719,0.64278,0.59679,1.12127,1.09595,0.00101934,0.00101934,0.00101934
7,343.966,0.59332,1.06255,1.17013,0.59614,0.78204,0.7648,0.65843,0.5533,1.16015,1.04801,0.00100101,0.00100101,0.00100101
8,389.685,0.5955,1.04617,1.17502,0.75816,0.36534,0.52499,0.43562,0.71449,1.88258,1.22775,0.000982679,0.000982679,0.000982679
9,434.626,0.56656,1.00703,1.15443,0.77406,0.76281,0.83816,0.72888,0.51592,0.86045,1.00092,0.000964348,0.000964348,0.000964348
10,479.789,0.53533,0.96126,1.13348,0.81657,0.75937,0.86683,0.78702,0.47402,0.77299,0.94726,0.000946016,0.000946016,0.000946016
11,524.869,0.53153,0.9617,1.12859,0.66389,0.68095,0.76137,0.68068,0.45898,1.09827,0.95003,0.000927685,0.000927685,0.000927685
12,569.166,0.50688,0.90162,1.11521,0.74884,0.6927,0.82171,0.75475,0.44591,0.90275,0.93763,0.000909353,0.000909353,0.000909353
13,614.407,0.4993,0.91267,1.11639,0.81548,0.70614,0.86503,0.76944,0.47878,0.81454,0.95967,0.000891022,0.000891022,0.000891022
14,659.006,0.49141,0.86216,1.10896,0.79793,0.81793,0.91589,0.84887,0.40302,0.65103,0.88502,0.000872691,0.000872691,0.000872691
15,704.817,0.49421,0.85344,1.11087,0.86088,0.82814,0.93199,0.86578,0.39633,0.63994,0.88152,0.000854359,0.000854359,0.000854359
16,749.821,0.49065,0.85193,1.10918,0.75142,0.7567,0.86724,0.76586,0.45735,0.88556,0.9721,0.000836027,0.000836027,0.000836027
17,795.431,0.47726,0.801,1.09774,0.75107,0.76705,0.84915,0.75763,0.4386,0.82833,0.91688,0.000817696,0.000817696,0.000817696
18,840.289,0.47036,0.79252,1.08723,0.78654,0.77527,0.87524,0.79292,0.41147,0.70428,0.91013,0.000799365,0.000799365,0.000799365
19,885.386,0.47387,0.78209,1.09286,0.83217,0.80228,0.89832,0.84295,0.38083,0.62579,0.87026,0.000781033,0.000781033,0.000781033
20,930.031,0.4567,0.76573,1.08513,0.87279,0.79259,0.912,0.84581,0.38619,0.67193,0.86478,0.000762702,0.000762702,0.000762702
21,974.855,0.44712,0.7424,1.08506,0.79817,0.73674,0.88765,0.83181,0.3514,0.77636,0.84789,0.00074437,0.00074437,0.00074437
22,1020.55,0.43415,0.71421,1.07333,0.85955,0.8327,0.92041,0.84015,0.39909,0.59009,0.88462,0.000726038,0.000726038,0.000726038
23,1065.28,0.43904,0.69895,1.06561,0.88794,0.8802,0.9448,0.88383,0.34879,0.47026,0.82643,0.000707707,0.000707707,0.000707707
24,1111.09,0.42559,0.6869,1.06971,0.86158,0.82512,0.90654,0.85359,0.31696,0.62652,0.80404,0.000689376,0.000689376,0.000689376
25,1156.03,0.41028,0.6804,1.05619,0.87852,0.85133,0.93538,0.88939,0.31709,0.52122,0.80658,0.000671044,0.000671044,0.000671044
26,1201.69,0.42197,0.69844,1.06521,0.84264,0.85321,0.9363,0.889,0.3355,0.55752,0.82072,0.000652712,0.000652712,0.000652712
27,1246.41,0.40971,0.6571,1.05729,0.91137,0.82057,0.92954,0.88482,0.34611,0.57942,0.82866,0.000634381,0.000634381,0.000634381
28,1291.06,0.4116,0.63287,1.05848,0.83101,0.8483,0.93005,0.88105,0.29553,0.59642,0.78165,0.000616049,0.000616049,0.000616049
29,1336.65,0.40444,0.6287,1.04771,0.94273,0.88714,0.95887,0.9169,0.29918,0.41304,0.79077,0.000597718,0.000597718,0.000597718
30,1381.56,0.40319,0.61041,1.05028,0.92086,0.81587,0.94497,0.89753,0.32063,0.56171,0.80615,0.000579386,0.000579386,0.000579386
31,1427.64,0.38203,0.61796,1.03626,0.8916,0.84634,0.94005,0.89444,0.30823,0.56879,0.81619,0.000561055,0.000561055,0.000561055
32,1472.46,0.38559,0.5835,1.04118,0.91682,0.85105,0.94938,0.90626,0.28091,0.46132,0.77963,0.000542723,0.000542723,0.000542723
33,1517.74,0.38403,0.56084,1.04308,0.84567,0.9122,0.95408,0.90993,0.31745,0.50561,0.82011,0.000524392,0.000524392,0.000524392
34,1562.24,0.37394,0.56799,1.03355,0.91863,0.87993,0.94819,0.90852,0.29079,0.44866,0.78247,0.00050606,0.00050606,0.00050606
35,1607.24,0.37654,0.5452,1.03682,0.87639,0.87928,0.95957,0.92266,0.29237,0.43102,0.78371,0.000487729,0.000487729,0.000487729
36,1652.41,0.36172,0.53361,1.02787,0.89826,0.94199,0.96365,0.93601,0.26365,0.37629,0.75353,0.000469397,0.000469397,0.000469397
37,1697.7,0.36425,0.53994,1.02745,0.90691,0.90483,0.95996,0.92564,0.26732,0.42214,0.77498,0.000451066,0.000451066,0.000451066
38,1743.11,0.36842,0.52905,1.03011,0.94249,0.87257,0.95382,0.91899,0.27907,0.44303,0.76788,0.000432734,0.000432734,0.000432734
39,1787.88,0.35874,0.51754,1.03349,0.94732,0.89501,0.96834,0.93146,0.26108,0.34561,0.7715,0.000414403,0.000414403,0.000414403
40,1833.37,0.35824,0.49536,1.02836,0.92838,0.92245,0.97118,0.94583,0.24165,0.35449,0.74706,0.000396071,0.000396071,0.000396071
41,1878.04,0.3426,0.48713,1.02074,0.96318,0.90958,0.97308,0.94339,0.26238,0.30826,0.75709,0.00037774,0.00037774,0.00037774
42,1923.8,0.35315,0.47978,1.02615,0.96801,0.89654,0.96485,0.93607,0.24762,0.34845,0.74796,0.000359409,0.000359409,0.000359409
43,1968.36,0.34193,0.4698,1.0208,0.92878,0.93554,0.97448,0.94567,0.24173,0.32263,0.73995,0.000341077,0.000341077,0.000341077
44,2013.35,0.33395,0.45521,1.01161,0.93339,0.912,0.96913,0.94009,0.2431,0.33822,0.73176,0.000322745,0.000322745,0.000322745
45,2058.67,0.34449,0.46387,1.02179,0.95201,0.87236,0.96184,0.93556,0.22455,0.34879,0.71087,0.000304414,0.000304414,0.000304414
46,2103.64,0.32693,0.43934,1.01144,0.93257,0.92174,0.97042,0.94314,0.23152,0.32394,0.72993,0.000286083,0.000286083,0.000286083
47,2149.75,0.33474,0.42716,1.0153,0.94672,0.91964,0.96809,0.94347,0.23278,0.33183,0.73254,0.000267751,0.000267751,0.000267751
48,2194.92,0.32648,0.42021,1.00045,0.96038,0.93115,0.97433,0.95037,0.21293,0.28115,0.71866,0.00024942,0.00024942,0.00024942
49,2241.38,0.32592,0.41624,1.0103,0.96041,0.92398,0.9686,0.94758,0.22051,0.30399,0.70819,0.000231088,0.000231088,0.000231088
50,2286.64,0.3221,0.41128,1.00493,0.97944,0.93153,0.9797,0.95133,0.22265,0.29491,0.71707,0.000212757,0.000212757,0.000212757
51,2333.41,0.2147,0.31392,0.9268,0.93849,0.92122,0.96466,0.93454,0.23558,0.34335,0.74384,0.000194425,0.000194425,0.000194425
52,2377.07,0.20636,0.29545,0.9166,0.96271,0.94612,0.97272,0.94554,0.22537,0.27946,0.73139,0.000176094,0.000176094,0.000176094
53,2420.99,0.19912,0.27158,0.90605,0.96518,0.91877,0.97187,0.94806,0.22395,0.305,0.72376,0.000157762,0.000157762,0.000157762
54,2465.7,0.19253,0.254,0.90643,0.9627,0.92654,0.97514,0.95025,0.21299,0.29066,0.71641,0.000139431,0.000139431,0.000139431
55,2509.77,0.18903,0.23886,0.9004,0.95328,0.94348,0.97579,0.95277,0.20016,0.27777,0.69788,0.000121099,0.000121099,0.000121099
56,2553.86,0.18198,0.23325,0.89474,0.96885,0.94166,0.9767,0.94966,0.20674,0.27005,0.70855,0.000102768,0.000102768,0.000102768
